Time,Position,theta,Force
0,-5.52005e-06,0.523611,0
0.001,-1.65601e-05,0.523635,0
0.002,-3.31199e-05,0.523671,0
0.003,-5.51991e-05,0.523719,0
0.004,-8.27971e-05,0.523778,0
0.005,-0.000115913,0.52385,0
0.006,-0.000154547,0.523934,0
0.007,-0.000198697,0.524029,0
0.008,-0.000248362,0.524137,0
0.009,-0.000303542,0.524256,0
0.01,-0.000364234,0.524388,0
0.011,-0.000430437,0.524531,0
0.012,-0.00050215,0.524686,0
0.013,-0.00057937,0.524854,0
0.014,-0.000662095,0.525033,0
0.015,-0.000750324,0.525224,0
0.016,-0.000844054,0.525427,0
0.017,-0.000943282,0.525642,0
0.018,-0.00104801,0.525869,0
0.019,-0.00115822,0.526108,0
0.02,-0.00127393,0.526359,0
0.021,-0.00139513,0.526622,0
0.022,-0.00152181,0.526897,0
0.023,-0.00165396,0.527183,0
0.024,-0.0017916,0.527482,0
0.025,-0.00193471,0.527793,0
0.026,-0.00208329,0.528115,0
0.027,-0.00223734,0.528449,0
0.028,-0.00239684,0.528796,0
0.029,-0.00256181,0.529154,0
0.03,-0.00273222,0.529524,0
0.031,-0.00290809,0.529906,0
0.032,-0.00308939,0.5303,0
0.033,-0.00327614,0.530706,0
0.034,-0.00346832,0.531124,0
0.035,-0.00366593,0.531554,0
0.036,-0.00386896,0.531995,0
0.037,-0.00407741,0.532449,0
0.038,-0.00429127,0.532914,0
0.039,-0.00451053,0.533392,0
0.04,-0.00473519,0.533881,0
0.041,-0.00496525,0.534382,0
0.042,-0.0052007,0.534895,0
0.043,-0.00544152,0.53542,0
0.044,-0.00568772,0.535956,0
0.045,-0.00593929,0.536505,0
0.046,-0.00619621,0.537065,0
0.047,-0.00645849,0.537638,0
0.048,-0.00672612,0.538222,0
0.049,-0.00699908,0.538818,0
0.05,-0.00727737,0.539426,0
0.051,-0.00756099,0.540046,0
0.052,-0.00784992,0.540677,0
0.053,-0.00814416,0.541321,0
0.054,-0.00844369,0.541976,0
0.055,-0.00874851,0.542643,0
0.056,-0.00905862,0.543322,0
0.057,-0.009374,0.544013,0
0.058,-0.00969464,0.544716,0
0.059,-0.0100205,0.54543,0
0.06,-0.0103517,0.546157,0
0.061,-0.010688,0.546895,0
